čь̀rnъ	adj. o	b	čь̀rnъ 		Grammatical information: adj. o 	čь̀rnъ 
čь̑stь	f. i	c	Bulgarian:	čest	[f i]	čь̑stь 
čь̑stь	f. i	c	Other cognates:	cítti-	[f]	čь̑stь 
čьrmьnъ	adj. o		čьrmьnъ 		Grammatical information: adj. o 	čьrmьnъ 
čьrmьnъ	adj. o		Old Church Slavic:	črъmьnъ	[adj o]	čьrmьnъ 
čьrmьnъ	adj. o		Russian:	čeremnój	[adj o]	čьrmьnъ 
čьrmьnъ	adj. o		Czech:	čermný	[adj o]	čьrmьnъ 
čьrmьnъ	adj. o		Polish:	czermny	[adj o]	čьrmьnъ 
čьrmьnъ	adj. o		Serbo-Croatian:	crman	[adj o]	čьrmьnъ 
čьrmьnovati sę	v.		čьrmьnovati sę 		Grammatical information: v. 	čьrmьnovati sę 
čьrmьnovati sę	v.		Old Church Slavic:	črъmъnuetъ sę	[3sg]	čьrmьnovati sę 
čьrmьnovati sę	v.		Church Slavic:	čermnovat'sja	[verb]	čьrmьnovati sę 
čьrmьnovati sę	v.		Old Russian:	čermnovat'sja	[verb]	čьrmьnovati sę 
čьrpati	v.		čьrpati 		Grammatical information: v. 	čьrpati 
čьrpati	v.		Old Church Slavic:	črěpьjǫšte	[Nompm pprsa]	čьrpati 
čьrpati	v.		Russian:	čérpat'	[verb]	čьrpati 
čьrpati	v.		Czech:	čerpati	[verb]	čьrpati 
čьrpati	v.		Old Czech:	črpati	[verb]	čьrpati 
čьrpati	v.		Slovak:	čerpati	[verb]	čьrpati 
čьrpati	v.		Polish:	czerpać	[verb]	čьrpati 
čьrpati	v.		Serbo-Croatian:	cr̀pati	[verb]	čьrpati 
čьrpati	v.		Slovene:	črpáti	[verb]	čьrpati 
čьrpati	v.		Bulgarian:	čérpja	[verb]	čьrpati 
čьrpati	v.		Lithuanian:	kir̃pti	[verb]	čьrpati 
čьrstvъ	adj. o		čьrstvъ 		Grammatical information: adj. o 	čьrstvъ 
čьrstvъ	adj. o		Church Slavic:	črьstvъ	[verb]	čьrstvъ 
čьrstvъ	adj. o		Russian:	čërstvyj	[adj o]	čьrstvъ 
čьrstvъ	adj. o		Czech:	č(e)rstvý	[adj o]	čьrstvъ 
čьrstvъ	adj. o		Polish:	czerstwy	[adj o]	čьrstvъ 
čьrstvъ	adj. o		Serbo-Croatian:	čvȓst	[adj o]	čьrstvъ 
čьrstvъ	adj. o		Slovene:	čvȓst	[adj o]	čьrstvъ 
čьrtà	f. ā	b	čьrtà 		Grammatical information: f. ā 	čьrtà 
čьrtà	f. ā	b	Grammatical information:		Accent paradigm: b 	čьrtà 
čьrtà	f. ā	b	Old Church Slavic:	črъta	[f ā]	čьrtà 
čьrtà	f. ā	b	Russian:	čertá	[f ā]	čьrtà 
čьrtà	f. ā	b	Czech:	črta	[f ā]	čьrtà 
čьrtà	f. ā	b	Slovak:	črta	[f ā]	čьrtà 
čьrtà	f. ā	b	Serbo-Croatian:	cȑta	[f ā]	čьrtà 
čьrtà	f. ā	b	Slovene:	čŕta	[f ā]	čьrtà 
čьrtà	f. ā	b	Bulgarian:	čertá	[f ā]	čьrtà 
čьrvь	m. i		čьrvь 		Grammatical information: m. i 	čьrvь 
čьrvь	m. i		Old Church Slavic:	črъvь	[m i]	čьrvь 
čьrvь	m. i		Russian:	červ'	[m jo]	čьrvь 
čьrvь	m. i		Czech:	červ	[m o]	čьrvь 
čьrvь	m. i		Slovak:	červ	[m o]	čьrvь 
čьrvь	m. i		Polish:	czerw	[m jo]	čьrvь 
čьrvь	m. i		Upper Sorbian:	čerw	[m o]	čьrvь 
čьrvь	m. i		Lower Sorbian:	cerw	[m o]	čьrvь 
čьrvь	m. i		Serbo-Croatian:	cȓv	[m o]	čьrvь 
čьrvь	m. i		Slovene:	čȓv	[m o]	čьrvь 
čьrvь	m. i		Lithuanian:	kirmìs	[f i]	čьrvь 
čьrvь	m. i		Latvian:	cirmis	[m io]	čьrvь 
čьrvь	m. i		Other cognates:	kŕ̯mi-	[m]	čьrvь 
čьto	pron.		čьto 		Grammatical information: pron. 	čьto 
čьto	pron.		Old Church Slavic:	čьto	[prninterr]	čьto 
čьto	pron.		Russian:	čto	[prninterr]	čьto 
čьto	pron.		Serbo-Croatian:	štȍ	[prninterr]	čьto 
čьto	pron.		Bulgarian:	što	[prninterr]	čьto 
čьto	pron.		Other cognates:	τί	[prninterr]	čьto 
čьxati	v.		čixati; čьxati 		Grammatical information: v. 	čixati; čьxati 
čьxati	v.		Russian:	čixát'	[verb]	čixati; čьxati 
čьxati	v.		Ukrainian:	čxáty	[verb]	čixati; čьxati 
čьxati	v.		Polish:	czchać	[verb]	čixati; čьxati 
čьxati	v.		Upper Sorbian:	čichać	[verb]	čixati; čьxati 
čьxati	v.		Slovene:	číhati	[verb]	čixati; čьxati 
čàdjь	m. jo; f. jā	a	čàdjь; čàdja 		Grammatical information: m. jo; f. jā 	čàdjь; čàdja 
čàdjь	m. jo; f. jā	a	Grammatical information:		Accent paradigm: a 	čàdjь; čàdja 
čàdjь	m. jo; f. jā	a	Slovak:	čadza	[f jā]	čàdjь; čàdja 
čàdjь	m. jo; f. jā	a	Serbo-Croatian:	čȃđ	[f i]	čàdjь; čàdja 
čàdjь	m. jo; f. jā	a	Slovene:	čáj	[m jo]	čàdjь; čàdja 
čàdja	m. jo; f. jā	a	čàdjь; čàdja 		Grammatical information: m. jo; f. jā 	čàdjь; čàdja 
čàdja	m. jo; f. jā	a	Grammatical information:		Accent paradigm: a 	čàdjь; čàdja 
čàdja	m. jo; f. jā	a	Slovak:	čadza	[f jā]	čàdjь; čàdja 
čàdja	m. jo; f. jā	a	Serbo-Croatian:	čȃđ	[f i]	čàdjь; čàdja 
čàdja	m. jo; f. jā	a	Slovene:	čáj	[m jo]	čàdjь; čàdja 
čàjati	v.	a	čàjati 		Grammatical information: v. 	čàjati 
čàjati	v.	a	Grammatical information:		Accent paradigm: a 	čàjati 
čàjati	v.	a	Old Church Slavic:	čajati	[verb]	čàjati 
čàjati	v.	a	Russian:	čájat'	[verb]	čàjati 
čàjati	v.	a	Serbo-Croatian:	čȁjati	[verb]	čàjati 
čàjati	v.	a	Slovene:	čȃjati	[verb]	čàjati 
čàjati	v.	a	Other cognates:	cā́yati	[verb]	čàjati 
čàsъ	m. o	a	čàsъ 		Grammatical information: m. o 	čàsъ 
čàsъ	m. o	a	Grammatical information:		Accent paradigm: a 	čàsъ 
čàsъ	m. o	a	Old Church Slavic:	časъ	[m o]	čàsъ 
čàsъ	m. o	a	Russian:	čas	[m o]	čàsъ 
čàsъ	m. o	a	Czech:	čas	[m o]	čàsъ 
čàsъ	m. o	a	Slovak:	čas	[m o]	čàsъ 
čàsъ	m. o	a	Polish:	czas	[m o]	čàsъ 
čàsъ	m. o	a	Slovincian:	čȧ̃s	[m o]	čàsъ 
čàsъ	m. o	a	Serbo-Croatian:	čȁs	[m o]	čàsъ 
čàsъ	m. o	a	Slovene:	čàs	[m o]	čàsъ 
čàsъ	m. o	a	Bulgarian:	čas	[m o]	čàsъ 
čàsъ	m. o	a	Old Prussian:	kīsman	[Accs]	čàsъ 
čàsъ	m. o	a	Other cognates:	kohë	[f]	čàsъ 
čadъ	m. o	a? c?	čadъ 		Grammatical information: m. o 	čadъ 
čadъ	m. o	a? c?	Grammatical information:		Accent paradigm: a? c? 	čadъ 
čadъ	m. o	a? c?	Russian:	čad	[m o]	čadъ 
čadъ	m. o	a? c?	Czech:	čad	[m o]	čadъ 
čadъ	m. o	a? c?	Polish:	czad	[m o]	čadъ 
čadъ	m. o	a? c?	Slovincian:	čåu̯d	[m o]	čadъ 
čadъ	m. o	a? c?	Serbo-Croatian:	čȁd	[m o]	čadъ 
čadъ	m. o	a? c?	Slovene:	čȃd	[m o]	čadъ 
čakati	v.		čakati 		Grammatical information: v. 	čakati 
čakati	v.		Old Czech:	čakati	[verb]	čakati 
čakati	v.		Slovak:	čakat'	[verb]	čakati 
čakati	v.		Polish:	czakać	[verb]	čakati 
čakati	v.		Old Polish:	czakać	[verb]	čakati 
čakati	v.		Upper Sorbian:	čakać	[verb]	čakati 
čakati	v.		Lower Sorbian:	čakaś	[verb]	čakati 
čakati	v.		Serbo-Croatian:	čȁkati	[verb]	čakati 
čakati	v.		Slovene:	čákati	[verb]	čakati 
čakati	v.		Bulgarian:	čákam	[verb]	čakati 
čarъ	m. o		čarъ 		Grammatical information: m. o 	čarъ 
čarъ	m. o		Old Church Slavic:	čary	[Accpm o]	čarъ 
čarъ	m. o		Russian:	čáry	[Nompm o]	čarъ 
čarъ	m. o		Czech:	čáry	[Nompm o]	čarъ 
čarъ	m. o		Old Czech:	čáry	[Nompm o]	čarъ 
čarъ	m. o		Slovak:	čar	[m o]	čarъ 
čarъ	m. o		Polish:	czar	[m o]	čarъ 
čarъ	m. o		Slovene:	čȃr	[m o]	čarъ 
čarъ	m. o		Bulgarian:	čar	[m o]	čarъ 
čarъ	m. o		Lithuanian:	keraĩ	[Nplm o]	čarъ 
čarъ	m. o		Other cognates:	karóti	[verb]	čarъ 
čara	f. ā		čara 		Grammatical information: f. ā 	čara 
čara	f. ā		Church Slavic:	čara	[f ā]	čara 
čara	f. ā		Old Russian:	čara	[f ā]	čara 
čara	f. ā		Slovincian:	čařḁ	[f ā]	čara 
čara	f. ā		Serbo-Croatian:	čara	[f ā]	čara 
čara	f. ā		Slovene:	čára	[f ā]	čara 
čara	f. ā		Other cognates:	karóti	[verb]	čara 
čarodějь	m. jo		čarodějь 		Grammatical information: m. jo 	čarodějь 
čarodějь	m. jo		Old Church Slavic:	čaroděi	[m jo]	čarodějь 
čarodějь	m. jo		Russian:	čarodéj	[m jo]	čarodějь 
čarodějь	m. jo		Czech:	čaroděj	[m jo]	čarodějь 
čarodějь	m. jo		Polish:	czarodziej	[m jo]	čarodějь 
čarodějь	m. jo		Serbo-Croatian:	čaròdjej	[m jo]	čarodějь 
čarodějь	m. jo		Slovene:	čarodẹ̀j	[m jo]	čarodějь 
čarodějь	m. jo		Bulgarian:	čarodéj	[m jo]	čarodějь 
čèznǫti	v.	a	čèznǫti 		Grammatical information: v. 	čèznǫti 
čèznǫti	v.	a	Grammatical information:		Accent paradigm: a 	čèznǫti 
čèznǫti	v.	a	Russian:	čéznut'	[verb]	čèznǫti 
čèznǫti	v.	a	Ukrainian:	čéznuty	[verb]	čèznǫti 
čèznǫti	v.	a	Polish:	czeznąć	[verb]	čèznǫti 
čèznǫti	v.	a	Serbo-Croatian:	čȅznuti	[verb]	čèznǫti 
čèznǫti	v.	a	Bulgarian:	čézna	[verb]	čèznǫti 
čérdъ	f. ā; m. o	b	čerdà; čérdъ 		Grammatical information: f. ā; m. o 	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Grammatical information:		Accent paradigm: b 	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Old Church Slavic:	črěda	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Russian:	čeredá	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Ukrainian:	čéred	[m o]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Czech:	třída	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Slovak:	čřieda	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Polish:	trzoda	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Old Polish:	czrzoda	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Slovincian:	střȯ́u̯dă	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Upper Sorbian:	črjóda	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Serbo-Croatian:	čréda	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Slovene:	črẹ́da	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Bulgarian:	čerdá	[f ā]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Lithuanian:	(s)ker̃džius	[m ju]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Old Prussian:	kērdan	[Accs]	čerdà; čérdъ 
čérdъ	f. ā; m. o	b	Other cognates:	śárdha-	[m]	čerdà; čérdъ 
čȇrpъ	m. o	c	čȇrpъ 		Grammatical information: m. o 	čȇrpъ 
čȇrpъ	m. o	c	Grammatical information:		Accent paradigm: c 	čȇrpъ 
čȇrpъ	m. o	c	Church Slavic:	črěpъ	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Russian:	čérep	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Belorussian:	čérap	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Ukrainian:	čérep	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Czech:	(s)třep	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Slovak:	črep	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Polish:	trzop	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Serbo-Croatian:	crȉjep	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Slovene:	črẹ̑p	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Bulgarian:	čérep	[m o]	čȇrpъ 
čȇrpъ	m. o	c	Other cognates:	scirbi	[n]	čȇrpъ 
čȇrvo	n. o	c	čȇrvo 		Grammatical information: n. o 	čȇrvo 
čȇrvo	n. o	c	Grammatical information:		Accent paradigm: c 	čȇrvo 
čȇrvo	n. o	c	Old Church Slavic:	črěvo	[n o]	čȇrvo 
čȇrvo	n. o	c	Russian:	čerëvo	[n o]	čȇrvo 
čȇrvo	n. o	c	Ukrainian:	čérevo	[n o]	čȇrvo 
čȇrvo	n. o	c	Czech:	střevo	[n o]	čȇrvo 
čȇrvo	n. o	c	Old Czech:	(s)třěvo	[n o]	čȇrvo 
čȇrvo	n. o	c	Slovak:	črevo	[n o]	čȇrvo 
čȇrvo	n. o	c	Polish:	trzewo	[n o]	čȇrvo 
čȇrvo	n. o	c	Upper Sorbian:	črjewo	[n o]	čȇrvo 
čȇrvo	n. o	c	Serbo-Croatian:	crijèvo	[n o]	čȇrvo 
čȇrvo	n. o	c	Slovene:	črẹvọ̑	[n s]	čȇrvo 
čȇrvo	n. o	c	Bulgarian:	červó	[n o]	čȇrvo 
čȇrvo	n. o	c	Other cognates:	cárman-	[m]	čȇrvo 
čę̑stь	f. i	c	čę̑stь 		Grammatical information: f. i 	čę̑stь 
čę̑stь	f. i	c	Grammatical information:		Accent paradigm: c 	čę̑stь 
čę̑stь	f. i	c	Old Church Slavic:	čęstь	[f i]	čę̑stь 
čę̑stь	f. i	c	Russian:	čast'	[f i]	čę̑stь 
čę̑stь	f. i	c	Czech:	část	[f i]	čę̑stь 
čę̑stь	f. i	c	Old Czech:	čěst	[f i]	čę̑stь 
čę̑stь	f. i	c	Slovak:	čast'	[f i]	čę̑stь 
čę̑stь	f. i	c	Polish:	część	[f i]	čę̑stь 
čę̑stь	f. i	c	Bulgarian:	čast	[f i]	čę̑stь 
čę̑stь	f. i	c	Lithuanian:	kañdis	[io]	čę̑stь 
čędъ	n. o; f. ā; m. o	a	čędo; čęda; čędъ 		Grammatical information: n. o; f. ā; m. o 	čędo; čęda; čędъ 
čędъ	n. o; f. ā; m. o	a	Grammatical information:		Accent paradigm: a 	čędo; čęda; čędъ 
čędъ	n. o; f. ā; m. o	a	Old Church Slavic:	čędo	[n o]	čędo; čęda; čędъ 
čędъ	n. o; f. ā; m. o	a	Russian:	čádo	[n o]	čędo; čęda; čędъ 
čędъ	n. o; f. ā; m. o	a	Old Czech:	čad	[m o]	čędo; čęda; čędъ 
čędъ	n. o; f. ā; m. o	a	Serbo-Croatian:	čȅdo	[n o]	čędo; čęda; čędъ 
čędъ	n. o; f. ā; m. o	a	Bulgarian:	čédo	[n o]	čędo; čęda; čędъ 
čędъ	n. o; f. ā; m. o	a	Other cognates:	καινός	[adj]	čędo; čęda; čędъ 
čędь	f. i		čędь 		Grammatical information: f. i 	čędь 
čędь	f. i		Old Church Slavic:	čędь	[f i]	čędь 
čędь	f. i		Church Slavic:	čadь	[f i]	čędь 
čędь	f. i		Old Russian:	čadь	[f i]	čędь 
čędь	f. i		Serbo-Croatian:	čed	[f i]	čędь 
čęda	n. o; f. ā; m. o	a	čędo; čęda; čędъ 		Grammatical information: n. o; f. ā; m. o 	čędo; čęda; čędъ 
čęda	n. o; f. ā; m. o	a	Grammatical information:		Accent paradigm: a 	čędo; čęda; čędъ 
čęda	n. o; f. ā; m. o	a	Old Church Slavic:	čędo	[n o]	čędo; čęda; čędъ 
čęda	n. o; f. ā; m. o	a	Russian:	čádo	[n o]	čędo; čęda; čędъ 
čęda	n. o; f. ā; m. o	a	Old Czech:	čad	[m o]	čędo; čęda; čędъ 
čęda	n. o; f. ā; m. o	a	Serbo-Croatian:	čȅdo	[n o]	čędo; čęda; čędъ 
čęda	n. o; f. ā; m. o	a	Bulgarian:	čédo	[n o]	čędo; čęda; čędъ 
čęda	n. o; f. ā; m. o	a	Other cognates:	καινός	[adj]	čędo; čęda; čędъ 
čędo	n. o; f. ā; m. o	a	čędo; čęda; čędъ 		Grammatical information: n. o; f. ā; m. o 	čędo; čęda; čędъ 
čędo	n. o; f. ā; m. o	a	Grammatical information:		Accent paradigm: a 	čędo; čęda; čędъ 
čędo	n. o; f. ā; m. o	a	Old Church Slavic:	čędo	[n o]	čędo; čęda; čędъ 
čędo	n. o; f. ā; m. o	a	Russian:	čádo	[n o]	čędo; čęda; čędъ 
čędo	n. o; f. ā; m. o	a	Old Czech:	čad	[m o]	čędo; čęda; čędъ 
čędo	n. o; f. ā; m. o	a	Serbo-Croatian:	čȅdo	[n o]	čędo; čęda; čędъ 
čędo	n. o; f. ā; m. o	a	Bulgarian:	čédo	[n o]	čędo; čęda; čędъ 
čędo	n. o; f. ā; m. o	a	Other cognates:	καινός	[adj]	čędo; čęda; čędъ 
čęstъ	adj. o	c	čęstъ 		Grammatical information: adj. o 	čęstъ 
čęstъ	adj. o	c	Grammatical information:		Accent paradigm: c 	čęstъ 
čęstъ	adj. o	c	Old Church Slavic:	čęstъ	[adj o]	čęstъ 
čęstъ	adj. o	c	Russian:	částyj	[adj o]	čęstъ 
čęstъ	adj. o	c	Czech:	častý	[adj o]	čęstъ 
čęstъ	adj. o	c	Slovak:	častý	[adj o]	čęstъ 
čęstъ	adj. o	c	Polish:	częsty	[adj o]	čęstъ 
čęstъ	adj. o	c	Serbo-Croatian:	čȇst	[adj o]	čęstъ 
čęstъ	adj. o	c	Slovene:	čę́stọ	[adv]	čęstъ 
čęstъ	adj. o	c	Bulgarian:	čésto	[adv]	čęstъ 
čęstъ	adj. o	c	Lithuanian:	kim̃štas	[ppp o]	čęstъ 
čekati	v.		čekati 		Grammatical information: v. 	čekati 
čekati	v.		Church Slavic:	čekati	[verb]	čekati 
čekati	v.		Russian:	čekát'	[verb]	čekati 
čekati	v.		Ukrainian:	čekáty	[verb]	čekati 
čekati	v.		Czech:	čekati	[verb]	čekati 
čekati	v.		Old Czech:	čekati	[verb]	čekati 
čekati	v.		Polish:	czekać	[verb]	čekati 
čekati	v.		Serbo-Croatian:	čȅkati	[verb]	čekati 
čekati	v.		Macedonian:	čéka	[verb]	čekati 
čel̨adь	f. i		čel̨adь 		Grammatical information: f. i 	čel̨adь 
čel̨adь	f. i		Old Church Slavic:	čelědijǫ	[Inssf i]	čel̨adь 
čel̨adь	f. i		Russian:	čéljad'	[f i]	čel̨adь 
čel̨adь	f. i		Czech:	čeled'	[f i]	čel̨adь 
čel̨adь	f. i		Slovak:	čel'ad'	[f i]	čel̨adь 
čel̨adь	f. i		Polish:	czeladź	[f i]	čel̨adь 
čel̨adь	f. i		Serbo-Croatian:	čȅljād	[f i]	čel̨adь 
čel̨adь	f. i		Slovene:	čéljad	[f i]	čel̨adь 
čel̨adь	f. i		Lithuanian:	kiltìs	[m i]	čel̨adь 
čel̨adь	f. i		Latvian:	cil̂ts	[f i]	čel̨adь 
čelesьnъ	adj. o		čelesьnъ(jь) 		Grammatical information: adj. o 	čelesьnъ(jь) 
čelesьnъ	adj. o		Church Slavic:	čelesьnyj	[adj o]	čelesьnъ(jь) 
čelesьnъ	adj. o		Old Russian:	čelesьnyj	[adj o]	čelesьnъ(jь) 
čelesьnъ	adj. o		Old Czech:	čeles(e)n	[m o]	čelesьnъ(jь) 
čelesьnъ	adj. o		Slovene:	čelę̑sǝn	[adj o]	čelesьnъ(jь) 
čelesьnъjь	adj. o		čelesьnъ(jь) 		Grammatical information: adj. o 	čelesьnъ(jь) 
čelesьnъjь	adj. o		Church Slavic:	čelesьnyj	[adj o]	čelesьnъ(jь) 
čelesьnъjь	adj. o		Old Russian:	čelesьnyj	[adj o]	čelesьnъ(jь) 
čelesьnъjь	adj. o		Old Czech:	čeles(e)n	[m o]	čelesьnъ(jь) 
čelesьnъjь	adj. o		Slovene:	čelę̑sǝn	[adj o]	čelesьnъ(jь) 
čelò	n. o	b	čelò 		Grammatical information: n. o 	čelò 
čelò	n. o	b	Grammatical information:		Accent paradigm: b 	čelò 
čelò	n. o	b	Old Church Slavic:	čelo	[n o]	čelò 
čelò	n. o	b	Czech:	čelo	[n o]	čelò 
čelò	n. o	b	Slovak:	čelo	[n o]	čelò 
čelò	n. o	b	Polish:	czoɫo	[n o]	čelò 
čelò	n. o	b	Serbo-Croatian:	čèlo	[n o]	čelò 
čelò	n. o	b	Slovene:	čélọ	[n o]	čelò 
čelò	n. o	b	Bulgarian:	čeló	[n o]	čelò 
čelověkъ	m. o		čelověkъ 		Grammatical information: m. o 	čelověkъ 
čelověkъ	m. o		Old Church Slavic:	člověkъ	[m o]	čelověkъ 
čelověkъ	m. o		Russian:	čelovék	[m o]	čelověkъ 
čelověkъ	m. o		Ukrainian:	čolovík	[m o]	čelověkъ 
čelověkъ	m. o		Czech:	člověk	[m o]	čelověkъ 
čelověkъ	m. o		Slovak:	človek	[m o]	čelověkъ 
čelověkъ	m. o		Polish:	czɫowiek	[m o]	čelověkъ 
čelověkъ	m. o		Serbo-Croatian:	čòvjek	[m o]	čelověkъ 
čelověkъ	m. o		Slovene:	člóvẹk	[m o]	čelověkъ 
čelověkъ	m. o		Bulgarian:	čelovék	[m o]	čelověkъ 
čelověkъ	m. o		Lithuanian:	kẽlias	[m jo]	čelověkъ 
čemerъ	m. o		čemerъ 		Grammatical information: m. o 	čemerъ 
čemerъ	m. o		Russian:	čémer	[m o]	čemerъ 
čemerъ	m. o		Czech:	čemer	[m o]	čemerъ 
čemerъ	m. o		Slovak:	čemer	[m o]	čemerъ 
čemerъ	m. o		Polish:	czemier	[m o]	čemerъ 
čemerъ	m. o		Serbo-Croatian:	čȅmēr	[m o]	čemerъ 
čemerъ	m. o		Slovene:	čemę́r	[m o]	čemerъ 
čemerъ	m. o		Lithuanian:	Bidens tripartita	[m o]	čemerъ 
čemerъ	m. o		Latvian:	cemerin̨š	[m jo]	čemerъ 
čemerъ	m. o		Other cognates:	κάμαρος	[m]	čemerъ 
čemerica	f. jā; f. ā		čemerica; čemerika 		Grammatical information: f. jā; f. ā 	čemerica; čemerika 
čemerika	f. jā; f. ā		čemerica; čemerika 		Grammatical information: f. jā; f. ā 	čemerica; čemerika 
čemerika	f. jā; f. ā		Russian:	čemeríca	[f jā]	čemerica; čemerika 
čemerika	f. jā; f. ā		Czech:	čemeřice	[f jā]	čemerica; čemerika 
čemerika	f. jā; f. ā		Slovak:	čemeřica	[f jā]	čemerica; čemerika 
čemerika	f. jā; f. ā		Polish:	ciemierzyca	[f jā]	čemerica; čemerika 
čemerika	f. jā; f. ā		Old Polish:	czemierzyca	[f jā]	čemerica; čemerika 
čemerika	f. jā; f. ā		Serbo-Croatian:	čemèrika	[f ā]	čemerica; čemerika 
čemerika	f. jā; f. ā		Slovene:	čemeríka	[f ā]	čemerica; čemerika 
čemerika	f. jā; f. ā		Bulgarian:	čemeríka	[f ā]	čemerica; čemerika 
čemerika	f. jā; f. ā		Lithuanian:	Bidens tripartita	[m o]	čemerica; čemerika 
čemerika	f. jā; f. ā		Latvian:	cemerin̨š	[m jo]	čemerica; čemerika 
čemerika	f. jā; f. ā		Other cognates:	κάμαρος	[m]	čemerica; čemerika 
čerdà	f. ā; m. o	b	čerdà; čérdъ 		Grammatical information: f. ā; m. o 	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Grammatical information:		Accent paradigm: b 	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Old Church Slavic:	črěda	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Russian:	čeredá	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Ukrainian:	čéred	[m o]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Czech:	třída	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Slovak:	čřieda	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Polish:	trzoda	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Old Polish:	czrzoda	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Slovincian:	střȯ́u̯dă	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Upper Sorbian:	črjóda	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Serbo-Croatian:	čréda	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Slovene:	črẹ́da	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Bulgarian:	čerdá	[f ā]	čerdà; čérdъ 
čerdà	f. ā; m. o	b	Lithuanian:	(s)ker̃džius	[m ju]	čerdà; čérdъ 
