oklam	[ˈoklam]
afektivní	[ˈafɛktɪvɲiː]
afélium	[ˈafɛːlɪum]
aferentní	[ˈafɛrɛntɲiː]
aférka	[ˈafɛːrka]
Afgánec	[ˈavɡaːnɛt͡s]
Afgánistán	[ˈavɡaːɲɪstaːn]
afgánský	[ˈavɡaːnskiː]
afgánský chrt	[avɡaːnskiː xr̩t]
Afghánec	[ˈavɡaːnɛt͡s]
Afghánistán	[ˈavɡaːɲɪstaːn]
Afghánka	[ˈavɡaːŋka]
afghánský	[ˈavɡaːnskiː]
afix	[ˈafɪks]
aforismus	[ˈaforɪzmus]
aforista	[ˈaforɪsta]
aforistický	[ˈaforɪstɪt͡skiː]
aforizmus	[ˈaforɪzmus]
africký	[ˈafrɪt͡skiː]
Afrika	[ˈafrɪka]
Afrikánec	[ˈafrɪkaːnɛt͡s]
afrikánsky	[ˈafrɪkaːnskɪ]
afrikánský	[ˈafrɪkaːnskiː]
afrikánština	/afrɪkaːnʃcɪna/
afrikáta	[ˈafrɪkaːta]
Afričan	[ˈafrɪt͡ʃan]
Afričanka	/afrɪtʃaŋka/
afroamerický	[ˈafroamɛrɪt͡skiː]
Afroameričan	[ˈafroamɛrɪt͡ʃan]
Afrodita	[ˈafrodɪta]
agapornis	[ˈaɡapornɪs]
Agáta	[ˈaɡaːta]
Agátka	[ˈaɡaːtka]
agáve	[ˈaɡaːvɛ]
ageneze	[ˈaɡɛnɛzɛ]
agent	[ˈaɡɛnt]
agentura	[ˈaɡɛntura]
agitátor	[ˈaɡɪtaːtor]
aglomerace	[ˈaɡlomɛrat͡sɛ]
agnosticismus	[ˈaɡnostɪt͡sɪzmus]
agnostik	[ˈaɡnostɪk]
agorafobie	[ˈaɡorafobɪjɛ]
agranulocytóza	[ˈaɡranulot͡sɪtoːza]
agrární	[ˈaɡraːrɲiː]
agregátor	[ˈaɡrɛɡaːtor]
agrese	[ˈaɡrɛsɛ]
agresivita	[ˈaɡrɛsɪvɪta]
agresivní	[ˈaɡrɛsɪvɲiː]
agresivnost	[ˈaɡrɛsɪvnost]
agresivně	[ˈaɡrɛsɪvɲɛ]
agresor	/ˈʔaɡrɛsɔr/
agronom	[ˈaɡronom]
aha	[ˈaɦa]
ahoj	/ˈaɦoj/
ahojky	[ˈaɦojkɪ]
aj	[Ëˆaj]
Ája	[ˈaːja]
aji	/ˈajɪ/
Ajka	[ˈajka]
ajmarština	[ˈajmarʃcɪna]
ajnclík	[ˈajn̩t͡sliːk]
ajurvéda	[ˈajurvɛːda]
ájurvéda	[ˈaːjurvɛːda]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
ajťák	[ˈajcaːk]
-ák	/aːk/
akademický	[ˈakadɛmɪt͡skiː]
akademie	[ˈakadɛmɪjɛ]
akademik	[ˈakadɛmɪk]
akanský	[ˈakanskiː]
akanština	/ˈa.kan.ʃcɪ.na/
akánština	/ˈa.kaːn.ʃcɪ.na/
akát	[ˈakaːt]
akce	[ˈakt͡sɛ]
akcelerace	[ˈakt͡sɛlɛrat͡sɛ]
akcelerovat	[ˈakt͡sɛlɛrovat]
akceptovat	[ˈakt͡sɛptovat]
akceptovatelný	[ˈakt͡sɛptovatɛlniː]
akcie	[ˈakt͡sɪjɛ]
akkadský	[ˈakatskiː]
akkadština	[ˈakatʃcɪna]
Akkaďan	[ˈakaɟan]
aklimatizace	[ˈaklɪmatɪzat͡sɛ]
aklimatizovaný	[ˈaklɪmatɪzovaniː]
aklimatizovat	[ˈaklɪmatɪzovat]
akomodace	[ˈakomodat͡sɛ]
akorát	[ˈakoraːt]
akordeon	[ˈakordɛon]
akrobat	[ˈakrobat]
akrobatický	[ˈakrobatɪt͡skiː]
Akropole	[ˈakropolɛ]
Akropolis	[ˈakropolɪs]
akrylát	[ˈakrɪlaːt]
akt	[ˈakt]
aktér	[ˈaktɛːr]
aktinid	[ˈakcɪɲɪt]
aktivismus	[ˈaktɪvɪzmus]
aktivista	[ˈaktɪvɪsta]
aktivistický	[ˈaktɪvɪstɪt͡skiː]
aktivita	[ˈaktɪvɪta]
aktivní	[ˈaktɪvɲiː]
aktivně	[ˈaktɪvɲɛ]
aktivovat	[ˈaktɪvovat]
aktivum	/aktɪvum/
aktovka	[ˈaktofka]
aktualizace	[ˈaktualɪzat͡sɛ]
aktualizovaný	[ˈaktualɪzovaniː]
aktualizovat	[ˈaktualɪzovat]
aktuální	[ˈaktuaːlɲiː]
aktuálně	[ˈaktuaːlɲɛ]
akupresura	[ˈakuprɛsura]
akupunktura	[ˈakupuŋktura]
akustický	[ˈakustɪt͡skiː]
akustika	[ˈakustɪka]
akutní	[ˈakutɲiː]
akvarista	[ˈakvarɪsta]
akvárium	/ˈakvaːrɪ(j)um/
akvizice	[ˈakvɪzɪt͡sɛ]
akviziční	[ˈakvɪzɪt͡ʃɲiː]
Alabama	[ˈalabaːma]
alabastr	[ˈalabastr̩]
Alan	[ˈalan]
Alánek	[ˈalaːnɛk]
Albánec	[ˈalbaːnɛt͡s]
Albánie	[ˈalbaːnɪjɛ]
Albánka	[ˈalbaːŋka]
albánský	[ˈalbaːnskiː]
albánština	[ˈalbaːnʃcɪna]
albatros	/ˈalbatros/
albech	[ˈalbɛx]
Albert	[ˈalbɛrt]
Albertův	/ˈalbɛrtuːf/
Albína	[ˈalbiːna]
Albínin	[ˈalbiːɲɪn]
Albínka	[ˈalbiːŋka]
aldehyd	[ˈaldɛɦɪt]
ale	/alɛ/
alébrž	[ˈalɛːbr̩ʃ]
alegoricky	[ˈalɛɡorɪt͡skɪ]
alegorický	[ˈalɛɡorɪt͡skiː]
alegorie	[ˈalɛɡorɪjɛ]
alej	[ˈalɛj]
aleluja	[ˈalɛluja]
alemánský	[ˈalɛmaːnskiː]
alemánština	[ˈalɛmaːnʃcɪna]
Alena	[ˈalɛna]
Alenin	[ˈalɛɲɪn]
Alenka	[ˈalɛŋka]
Alenčin	[ˈalɛnt͡ʃɪn]
alergen	[ˈalɛrɡɛn]
alergická rýma	[alɛrɡɪt͡skaː riːma]
alergický	[ˈalɛrɡɪt͡skiː]
alergie	[ˈalɛrɡɪjɛ]
alergolog	[ˈalɛrɡolok]
alergologie	[ˈalɛrɡoloɡɪjɛ]
alergoložka	[ˈalɛrɡoloʃka]
alespoň	[ˈalɛspoɲ]
Alexandr	[ˈalɛksandr̩]
alexandr	[ˈalɛksandr̩]
Alexandra	[ˈalɛksandra]
Alexandřin	[ˈalɛksandr̝ɪn]
Alexej	[ˈalɛksɛj]
Aleš	[ˈalɛʃ]
Alešův	[ˈalɛʃuːf]
algebra	[ˈalɡɛbra]
algoritmický	[ˈalɡorɪtmɪt͡skiː]
algoritmus	[ˈalɡorɪtmus]
Alibaba	[ˈalɪbaba]
alibismus	[ˈalɪbɪzmus]
alibista	[ˈalɪbɪsta]
alibistický	/ˈalɪbɪstɪt͡skiː/
Alice	[ˈalɪt͡sɛ]
Alicin	[ˈalɪt͡sɪn]
aligátor	[alɪɡaːtor]
alimentární	[ˈalɪmɛntaːrɲiː]
alimenty	[ˈalɪmɛntɪ]
Alička	[ˈalɪt͡ʃka]
Aljašan	[ˈaljaʃan]
Aljaška	/ˈal.ja.ʃka/
aljašský	[ˈaljaʃskiː]
alka	[alka]
alkohol	[ˈalkoɦol]
alkoholický	[ˈalkoɦolɪt͡skiː]
alkoholik	[ˈalkoɦolɪk]
alkoholismus	[ˈalkoɦolɪzmus]
alkoholizmus	[ˈalkoɦolɪzmus]
alkoholička	[ˈalkoɦolɪt͡ʃka]
alkoun	[alkoun]
almanach	[ˈalmanax]
almužna	/ˈʔalmʊʒna/
Alois	[ˈaloɪs]
alokace	[ˈalokat͡sɛ]
alokátor	[ˈalokaːtor]
alokovat	[ˈalokovat]
alpský	[ˈalpskiː]
Alpy	/ˈal.pɪ/
Alsasan	[ˈalsasan]
Alsasko	[ˈalsasko]
alsaský	[ˈalsaskiː]
Altaj	[ˈaltaj]
altánek	[ˈaltaːnɛk]
alternativa	[ˈaltɛrnatɪva]
alternativní	/ˈaltɛrnatɪvɲiː/
alternativní hypotéza	[altɛrnatɪvɲiː ɦɪpotɛːza]
alternativní rozdělení	[altɛrnatɪvɲiː rozɟɛlɛɲiː]
alternátor	[ˈaltɛrnaːtor]
altruismus	[ˈaltruɪzmus]
altruistický	[ˈaltruɪstɪt͡skiː]
altruizmus	[ˈaltruɪzmus]
alveolární	[ˈalvɛolaːrɲiː]
Alča	[ˈalt͡ʃa]
Alšův	[ˈalʃuːf]
Alžběta	[ˈalʒbjɛta]
Alžbětka	[ˈalʒbjɛtka]
Alžír	[ˈalʒiːr]
Alžírsko	[ˈalʒiːrsko]
alžírský	[ˈalʒiːrskiː]
Alžířan	[ˈalʒiːr̝an]
Alžířanka	[ˈalʒiːr̝aŋka]
amada	[amada]
amadina	[amadɪna]
Amálka	[ˈamaːlka]
amarant	[amarant]
amatér	[ˈamatɛːr]
amatérismus	[ˈamatɛːrɪzmus]
amatérka	[ˈamatɛːrka]
amatérský	[ˈamatɛːrskiː]
amatérství	[ˈamatɛːrstviː]
amazónek	[ˈamazoːnɛk]
Amazonka	[ˈamazoŋka]
amazonský	[ˈamazonskiː]
amazoňan	[ˈamazoɲan]
ambivalentní	[ˈambɪvalɛntɲiː]
ambroň	[ˈambroɲ]
Ambrož	[ˈambroʃ]
ambulance	[ˈambulant͡sɛ]
ambulantní	[ˈambulantɲiː]
americký	/ˈamɛrɪt͡skiː/
Amerika	[ˈamɛrɪka]
amerikanismus	[ˈamɛrɪkanɪzmus]
amerikanista	[ˈamɛrɪkanɪsta]
amerikanistika	[ˈamɛrɪkanɪstɪka]
Američan	[ˈamɛrɪt͡ʃan]
Američanka	[ˈamɛrɪt͡ʃaŋka]
amharština	[ˈamɦarʃcɪna]
aminokyselina	[ˈamɪnokɪsɛlɪna]
amnestovat	[ˈamnɛstovat]
amonium	[ˈamoɲɪum]
Amonův	[ˈamonuːf]
amorfní	[ˈamorfɲiː]
ampér	[ˈampɛːr]
amputovat	[ˈamputovat]
Amsterdam	[ˈamstɛrdam]
amyláza	[ˈamɪlaːza]
-an	[ˈan]
	[Ëˆana]
anabolický	[ˈanabolɪt͡skiː]
anabolikum	[ˈanabolɪkum]
anabolismus	[ˈanabolɪzmus]
anaerobní	[ˈanaɛrobɲiː]
anafylaktický	[ˈanafɪlaktɪt͡skiː]
anafylaktický šok	[anafɪlaktɪt͡skiː ʃok]
anál	[ˈanaːl]
analfabetismus	[ˈanalfabɛtɪzmus]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
analfabetství	[ˈanalfabɛtstviː]
analgetický	[ˈanalɡɛtɪt͡skiː]
analgetikum	[ˈanalɡɛtɪkum]
anální	[ˈanaːlɲiː]
anální sex	[anaːlɲiː sɛks]
analog	[ˈanalok]
analogicky	[ˈanaloɡɪt͡skɪ]
analogický	[ˈanaloɡɪt͡skiː]
analogie	[ˈanaloɡɪjɛ]
analogový	[ˈanaloɡoviː]
analytická funkce	[analɪtɪt͡skaː fuŋkt͡sɛ]
analyticky	/analɪtɪtskɪ/
analytický	[ˈanalɪtɪt͡skiː]
analýza	[ˈanaliːza]
analyzovat	[ˈanalɪzovat]
ananym	/ananɪm/
anapest	/ˈanapɛst/
anapeste	/ˈanapɛstɛ/
anapestech	/ˈanapɛstɛx/
anapestem	/ˈanapɛstɛm/
anapestu	/ˈanapɛstu/
anapestů	/ˈanapɛstuː/
anapestům	/ˈanapɛstuːm/
anapesty	/ˈanapɛstɪ/
anarchie	[ˈanarxɪjɛ]
anarchismus	/anarxɪzmʊs/
anarchista	[ˈanarxɪsta]
anarchistický	[ˈanarxɪstɪt͡skiː]
anarchokapitalismus	[ˈanarxokapɪtalɪzmus]
anatom	[ˈanatom]
anatomicky	/anatɔmɪtskɪ/
anatomický	[ˈanatomɪt͡skiː]
anatomie	[ˈanatomɪjɛ]
anch	[ˈanx]
Anda	[ˈanda]
Andalusan	[ˈandalusan]
andaluský	[ˈandaluskiː]
andílek	[ˈanɟiːlɛk]
Andorra	[ˈandora]
andorrský	[ˈandorskiː]
Andořan	[ˈandor̝an]
Andrea	[ˈandrɛa]
Andrej	[ˈandrɛj]
Andrejka	[ˈandrɛjka]
andský	[ˈantskiː]
andulka	[ˈandulka]
Andulka	[ˈandulka]
Andy	[ˈandɪ]
anděl	/ˈanɟɛl/
Anděl	[ˈanɟɛl]
Anděla	[ˈanɟɛla]
andělí	[ˈanɟɛliː]
Andělin	[ˈanɟɛlɪn]
andělíček	[ˈanɟɛliːt͡ʃɛk]
andělíčkář	[ˈanɟɛliːt͡ʃkaːr̝̊]
andělíčkářka	[ˈanɟɛliːt͡ʃkaːr̝̊ka]
Andělka	[ˈanɟɛlka]
andělský	[ˈanɟɛlskiː]
aneb	[ˈanɛp]
anebo	/ˈanɛbo/
anémie	[ˈanɛːmɪjɛ]
anemometr	[ˈanɛmomɛtr̩]
anestetický	[ˈanɛstɛtɪt͡skiː]
Aneta	[ˈanɛta]
Anetka	[ˈanɛtka]
Anežka	[ˈanɛʃka]
Anežčin	[ˈanɛʃt͡ʃɪn]
angažmá	[ˈaŋɡaʒmaː]
angažovat	[ˈaŋɡaʒovat]
Anglán	[ˈaŋɡlaːn]
anglickojazyčný	[ˈaŋɡlɪt͡skojazɪt͡ʃniː]
anglicky	/ˈaŋɡlɪt͡skɪ/
anglický	/ˈaŋɡlɪt͡skiː/
anglický chrt	[aŋɡlɪt͡skiː xr̩t]
Anglie	[ˈaŋɡlɪjɛ]
anglikán	[ˈaŋɡlɪkaːn]
anglikanismus	[ˈaŋɡlɪkanɪzmus]
anglikánský	[ˈaŋɡlɪkaːnskiː]
anglikánství	[ˈaŋɡlɪkaːnstviː]
anglista	/aŋɡlɪsta/
anglistika	/aŋɡlɪstɪka/
anglistka	[ˈaŋɡlɪstka]
angličan	[ˈaŋɡlɪt͡ʃan]
Angličan	/ˈaŋɡlɪt͡ʃan/
Angličanka	/ˈaŋɡlɪt͡ʃaŋka/
angličtina	[ˈaŋɡlɪt͡ʃcɪna]
angličtinář	[ˈaŋɡlɪt͡ʃcɪnaːr̝̊]
angloamerický	[ˈaŋɡloamɛrɪt͡skiː]
Angloameričan	[ˈaŋɡloamɛrɪt͡ʃan]
Anglosas	[ˈaŋɡlosas]
anglosaský	[ˈaŋɡlosaskiː]
anglosaština	[ˈaŋɡlosaʃcɪna]
Angola	[ˈaŋɡola]
Angolan	[ˈaŋɡolan]
angolský	[ˈaŋɡolskiː]
angrešt	[ˈaŋɡrɛʃt]
angulární	[ˈaŋɡulaːrɲiː]
ani	/ˈaɲɪ/
ani ryba ani rak	[aɲɪ rɪba aɲɪ rak]
anilin	[ˈaɲɪlɪn]
Anička	[ˈaɲɪt͡ʃka]
Aniččin	[ˈaɲɪt͡ʃt͡ʃɪn]
aniž	[ˈaɲɪʃ]
Ankara	[ˈaŋkara]
anketa	[ˈaŋkɛta]
anketka	[ˈaŋkɛtka]
Anna	[ˈana]
Annin	[ˈaɲɪn]
ano	/ˈano/
anona	[ˈanona]
anonym	[ˈanonɪm]
anonymita	[ˈanonɪmɪta]
anonymní	/anɔnɪmɲiː/
anonymnost	[ˈanonɪmnost]
anorganický	[ˈanorɡanɪt͡skiː]
anténa	[ˈantɛːna]
anti-	[ˈantɪ]
antiamerický	[ˈantɪamɛrɪt͡skiː]
anticholinergní	[ˈantɪxolɪnɛrɡɲiː]
antický	[ˈantɪt͡skiː]
anticyklóna	[ˈantɪt͡sɪkloːna]
antidemokratický	[ˈantɪdɛmokratɪt͡skiː]
antidepresivum	[ˈantɪdɛprɛsɪvum]
antifašismus	[ˈantɪfaʃɪzmus]
antifašista	[ˈantɪfaʃɪsta]
antifašistický	[ˈantɪfaʃɪstɪt͡skiː]
antiflogistikum	[ˈantɪfloɡɪstɪkum]
antifungální	[ˈantɪfuŋɡaːlɲiː]
antigen	[ˈantɪɡɛn]
antigenní	[ˈantɪɡɛɲiː]
antihrdina	[ˈantɪɦr̩ɟɪna]
antiimigrační	[ˈantɪɪmɪɡrat͡ʃɲiː]
antika	[ˈantɪka]
antikoagulační	[ˈantɪkoaɡulat͡ʃɲiː]
antikomunismus	[ˈantɪkomunɪzmus]
antikomunista	[ˈantɪkomunɪsta]
antikomunistický	[ˈantɪkomunɪstɪt͡skiː]
antikoncepce	[ˈantɪkont͡sɛpt͡sɛ]
antikoncepční	[ˈantɪkont͡sɛpt͡ʃɲiː]
antikorozní	[ˈantɪkorozɲiː]
antilopa	[ˈantɪlopa]
antilopí	[ˈantɪlopiː]
Antily	[ˈantɪlɪ]
antilymfocytární	[ˈantɪlɪmfot͡sɪtaːrɲiː]
antimikrobní	[ˈantɪmɪkrobɲiː]
antimonopolní	[ˈantɪmonopolɲiː]
antimykotický	[ˈantɪmɪkotɪt͡skiː]
antimykotikum	[ˈantɪmɪkotɪkum]
antinukleární	[ˈantɪnuklɛaːrɲiː]
antipatie	[ˈantɪpatɪjɛ]
antipolitický	[ˈantɪpolɪtɪt͡skiː]
antiseptický	[ˈantɪsɛptɪt͡skiː]
antisymetrický	[ˈantɪsɪmɛtrɪt͡skiː]
antisymetrie	[ˈantɪsɪmɛtrɪjɛ]
antiteze	[ˈantɪtɛzɛ]
antivirový	[ˈantɪvɪroviː]
antologie	[ˈantoloɡɪjɛ]
Antonín	[ˈantoɲiːn]
antonymum	[ˈantonɪmum]
antropo-	[ˈantropo]
antropocén	[ˈantropot͡sɛːn]
antropocénní	[ˈantropot͡sɛːɲiː]
antropocentrický	[ˈantropot͡sɛntrɪt͡skiː]
antropocentrismus	[ˈantropot͡sɛntrɪzmus]
antropolog	[ˈantropolok]
antropologický	[ˈantropoloɡɪt͡skiː]
antropologie	[ˈantropoloɡɪjɛ]
antropoložka	[ˈantropoloʃka]
antropomorfismus	[ˈantropomorfɪzmus]
antropomorfní	[ˈantropomorfɲiː]
antropomorfně	[ˈantropomorfɲɛ]
Anuška	[ˈanuʃka]
anýz	/ˈaniːs/
anžto	[ˈanʃto]
aorist	[ˈaorɪst]
aoriste	[ˈaorɪstɛ]
aparát	[ˈaparaːt]
apatický	[ˈapatɪt͡skiː]
apatie	/apatɪjɛ/
apatyka	[ˈapatɪka]
Apač	[ˈapat͡ʃ]
apačština	[ˈapat͡ʃcɪna]
apelativum	[ˈapɛlatɪvum]
apendicitida	[ˈapɛndɪt͡sɪtɪda]
apendix	[ˈapɛndɪks]
apeninský	[ˈapɛɲɪnskiː]
aplikace	/ˈʔaplɪkat͡sɛ/
aplikační	[ˈaplɪkat͡ʃɲiː]
aplikovaná matematika	[aplɪkovanaː matɛmatɪka]
aplikovaný	[ˈaplɪkovaniː]
aplikovat	[ˈaplɪkovat]
aplikovatelný	[ˈaplɪkovatɛlniː]
Apolena	[ˈapolɛna]
Apolenin	[ˈapolɛɲɪn]
Apolenka	[ˈapolɛŋka]
apolitický	[ˈapolɪtɪt͡skiː]
Apollón	[ˈapoloːn]
Apollónův	[ˈapoloːnuːf]
apostrof	[ˈapostrof]
apozice	[ˈapozɪt͡sɛ]
kochaly	[ˈkoxalɪ]
kochalo	[ˈkoxalo]
kochala	[ˈkoxala]
kochal	[ˈkoxal]
vítány	[ˈviːtaːnɪ]
vítaly	[ˈviːtalɪ]
vítali	[ˈviːtalɪ]
vítalo	[ˈviːtalo]
vítala	[ˈviːtala]
vítal	[ˈviːtal]
poháre	[ˈpoɦaːrɛ]
chobotnice	[ˈxobotɲɪt͡sɛ]
zápěstí	[ˈzaːpjɛsciː]
metrosexuál	[ˈmɛtrosɛksuaːl]
hodně štěstí!	[ɦodɲɛ ʃcɛsciː]
dobrou noc	[dobrou̯ not͡s]
děkuji	[ˈɟɛkujɪ]
babička	/ˈbabɪt͡ʃka/
Kolumbie	[ˈkolumbɪjɛ]
Kolik je hodin?	[kolɪk jɛ ɦoɟɪn]
ar	/ar/
ara	[ˈara]
Arab	[ˈarap]
