метража́ми	metražámi	[mʲɪtrɐˈʐamʲɪ]
молодожёнами	molodožónami	[mələdɐˈʐonəmʲɪ]
ря́да	rjáda	[ˈrʲadə]
изъе́вший	izʺjévšij	[ɪzˈjefʂɨj]
шмы́гай	šmýgaj	[ˈʂmɨɡəj]
ламина́ты	lamináty	[ləmʲɪˈnatɨ]
выстра́иванием	vystráivanijem	[vɨˈstraɪvənʲɪ(j)ɪm]
баскетбо́ле	basketbóle	[bəskʲɪdˈbolʲe]
насмотре́ло	nasmotrélo	[nəsmɐˈtrʲelə]
столя́ркам	stoljárkam	[stɐˈlʲarkəm]
набзде́ло	nabzdélo	[nɐbzʲˈdʲelə]
осуществля́в	osuščestvljáv	[ɐsʊɕːɪstˈvlʲaf]
укра́сишь	ukrásišʹ	[ʊˈkrasʲɪʂ]
зажжённый	zažžónnyj	[zɐˈʐːonːɨj]
пи́скнул	písknul	[ˈpʲisknʊl]
ко́пиею	kópijeju	[ˈkopʲɪ(j)ɪjʊ]
переска́занные	pereskázannyje	[pʲɪrʲɪˈskazən(ː)ɨje]
огора́живали	ogoráživali	[ɐɡɐˈraʐɨvəlʲɪ]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
ре́звый	rézvyj	[ˈrʲezvɨj]
синте́тикою	sintɛ́tikoju	[sʲɪnˈtɛtʲɪkəjʊ]
оса́живая	osáživaja	[ɐˈsaʐɨvəjə]
слова́чке	slováčke	[slɐˈvat͡ɕkʲe]
нажи́вы	nažívy	[nɐˈʐɨvɨ]
кида́ться	kidátʹsja	[kʲɪˈdat͡sːə]
ле́звие	lézvije	[ˈlʲezvʲɪje]
слупи́ло	slupílo	[slʊˈpʲilə]
страда́льцу	stradálʹcu	[strɐˈdalʲt͡sʊ]
попыта́лся	popytálsja	[pəpɨˈtals⁽ʲ⁾ə]
пропита́нием	propitánijem	[prəpʲɪˈtanʲɪ(j)ɪm]
устрани́ла	ustraníla	[ʊstrɐˈnʲilə]
ша́вки	šávki	[ˈʂafkʲɪ]
приёмнику возду́шного давле́ния	prijómniku vozdúšnovo davlénija	[prʲɪˈjɵmnʲɪkʊ vɐzˈduʂnəvə dɐˈvlʲenʲɪjə]
ржевитя́нином	rževitjáninom	[rʐɨvʲɪˈtʲænʲɪnəm]
прикрыва́л	prikryvál	[prʲɪkrɨˈval]
некрофи́лами	nekrofílami	[nʲɪkrɐˈfʲiləmʲɪ]
спроеци́руйте	sproecírujte	[sprəɪˈt͡sɨrʊjtʲe]
хлысте́	xlysté	[xlɨˈsʲtʲe]
облепи́ха	oblepíxa	[ɐblʲɪˈpʲixə]
рассужда́вший	rassuždávšij	[rəsːʊʐˈdafʂɨj]
учту́тся	učtútsja	[ʊt͡ɕˈtut͡sːə]
перевра́вший	perevrávšij	[pʲɪrʲɪˈvrafʂɨj]
вы́режете	výrežete	[ˈvɨrʲɪʐɨtʲe]
парализова́ло	paralizoválo	[pərəlʲɪzɐˈvalə]
ве́ришься	vérišʹsja	[ˈvʲerʲɪʂsʲə]
перечи́тываешь	perečítyvaješʹ	[pʲɪrʲɪˈt͡ɕitɨvə(j)ɪʂ]
гази́руют	gazírujut	[ɡɐˈzʲirʊjʊt]
спи́вшийся	spívšijsja	[ˈspʲifʂɨjsʲə]
физи́ческие ли́ца	fizíčeskije líca	[fʲɪˈzʲit͡ɕɪskʲɪje ˈlʲit͡sə]
обосса́лись	obossálisʹ	[ɐbɐˈsːalʲɪsʲ]
пожина́вший	požinávšij	[pəʐɨˈnafʂɨj]
парфюме́риям	parfjumérijam	[pərfʲʉˈmʲerʲɪjəm]
сты́лу	stýlu	[ˈstɨlʊ]
предназна́чить	prednaznáčitʹ	[prʲɪdnɐzˈnat͡ɕɪtʲ]
разве́дало	razvédalo	[rɐzˈvʲedələ]
ле́пке	lépke	[ˈlʲepkʲe]
наби́вши	nabívši	[nɐˈbʲifʂɨ]
румы́ны	rumýny	[rʊˈmɨnɨ]
анне́ксией	annɛ́ksijej, annéksijej	[ɐˈnɛksʲɪ(j)ɪj]
кара́кулях	karákuljax	[kɐˈrakʊlʲəx]
поя́вимся	pojávimsja	[pɐˈjævʲɪmsʲə]
пипца́х	pipcáx	[pʲɪpˈt͡sax]
зажмёшь	zažmjóšʹ	[zɐʐˈmʲɵʂ]
дикто́вкам	diktóvkam	[dʲɪkˈtofkəm]
вы́ловим	výlovim	[ˈvɨləvʲɪm]
абдоминогистеротоми́ями	abdominogisterotomíjami	[ɐbˌdomʲɪnəɡʲɪsʲtʲɪrətɐˈmʲijəmʲɪ]
холуёв	xolujóv	[xəlʊˈjɵf]
очеви́дностью	očevídnostʹju	[ɐt͡ɕɪˈvʲidnəsʲtʲjʊ]
сни́зив	sníziv	[ˈsʲnʲizʲɪf]
пе́рвым любвя́м	pérvym ljubvjám	[ˈpʲervɨm lʲʊbˈvʲam]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
геро́йстве	gerójstve	[ɡʲɪˈrojstvʲe]
перева́ливаясь	pereválivajasʹ	[pʲɪrʲɪˈvalʲɪvə(j)ɪsʲ]
расширя́ла	rasširjála	[rəʂːɨˈrʲalə]
вкли́нивалось	vklínivalosʹ	[ˈfklʲinʲɪvələsʲ]
циркули́ровало	cirkulírovalo	[t͡sɨrkʊˈlʲirəvələ]
проти́вимся	protívimsja	[prɐˈtʲivʲɪmsʲə]
миниатю́ре	miniatjúre	[mʲɪnʲɪɐˈtʲʉrʲe]
францу́зскими	francúzskimi	[frɐnˈt͡suskʲɪmʲɪ]
унесёт	unesjót	[ʊnʲɪˈsʲɵt]
букси́рами	buksírami	[bʊkˈsʲirəmʲɪ]
доверя́емся	doverjájemsja	[dəvʲɪˈrʲæ(j)ɪmsʲə]
ирла́ндок	irlándok	[ɪrˈlandək]
хо́дом	xódom	[ˈxodəm]
любопы́тно	ljubopýtno	[lʲʊbɐˈpɨtnə]
кавалери́стах	kavalerístax	[kəvəlʲɪˈrʲistəx]
ведо́мыми	vedómymi	[vʲɪˈdomɨmʲɪ]
у́тречка	útrečka	[ˈutrʲɪt͡ɕkə]
ку́рочкой	kúročkoj	[ˈkurət͡ɕkəj]
аве́рсе	avérse	[ɐˈvʲersʲe]
подбра́сываю	podbrásyvaju	[pɐdˈbrasɨvəjʊ]
го́готы	gógoty	[ˈɡoɡətɨ]
сподо́бить	spodóbitʹ	[spɐˈdobʲɪtʲ]
национали́стов	nacionalístov	[nət͡sɨənɐˈlʲistəf]
проти́снитесь	protísnitesʹ	[prɐˈtʲisʲnʲɪtʲɪsʲ]
переска́занною	pereskázannoju	[pʲɪrʲɪˈskazən(ː)əjʊ]
возненави́дь	voznenavídʹ	[vəzʲnʲɪnɐˈvʲitʲ]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
равна́	ravná	[rɐvˈna]
мелка́шка	melkáška	[mʲɪlˈkaʂkə]
		
губи́вши	gubívši	[ɡʊˈbʲifʂɨ]
сва́риваю	svárivaju	[ˈsvarʲɪvəjʊ]
разга́дывать	razgádyvatʹ	[rɐzˈɡadɨvətʲ]
база́льту	bazálʹtu	[bɐˈzalʲtʊ]
холуя́ми	xolujámi	[xəlʊˈjæmʲɪ]
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
прише́дшийся	prišédšijsja	[prʲɪˈʂɛt͡ʂʂɨjsʲə]
направля́ешься	napravljáješʹsja	[nəprɐˈvlʲæ(j)ɪʂsʲə]
сладостра́стий	sladostrástij	[slədɐˈstrasʲtʲɪj]
ши́рмы	šírmy	[ˈʂɨrmɨ]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
оса́дкой	osádkoj	[ɐˈsatkəj]
еженеде́льный	ježenedélʹnyj	[(j)ɪʐɨnʲɪˈdʲelʲnɨj]
порха́ла	porxála	[pɐrˈxalə]
харчки́	xarčkí	[xɐrt͡ɕˈkʲi]
ли́селе	lísele	[ˈlʲisʲɪlʲe]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
позабу́ду	pozabúdu	[pəzɐˈbudʊ]
косми́ческий	kosmíčeskij	[kɐsˈmʲit͡ɕɪskʲɪj]
		
аккура́тностью	akkurátnostʹju	[ɐkʊˈratnəsʲtʲjʊ]
акклиматизи́рованиях	akklimatizírovanijax	[ɐklʲɪmətʲɪˈzʲirəvənʲɪjəx]
руководи́телей	rukovodítelej	[rʊkəvɐˈdʲitʲɪlʲɪj]
взбеси́вший	vzbesívšij	[vzbʲɪˈsʲifʂɨj]
соста́ривший	sostárivšij	[sɐˈstarʲɪfʂɨj]
кавита́ций	kavitácij	[kəvʲɪˈtat͡sɨj]
заморышо́м	zamoryšóm	[zəmərɨˈʂom]
настора́живалась	nastoráživalasʹ	[nəstɐˈraʐɨvələsʲ]
ро́дия	ródija	[ˈrodʲɪjə]
заёмщиков	zajómščikov	[zɐˈjɵmɕːɪkəf]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
сплю́щил	spljúščil	[ˈsplʲʉɕːɪl]
спечённый	spečónnyj	[spʲɪˈt͡ɕɵnːɨj]
возвеща́в	vozveščáv	[vəzvʲɪˈɕːaf]
молдава́нина	moldavánina	[məldɐˈvanʲɪnə]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
взбега́ла	vzbegála	[vzbʲɪˈɡalə]
мири́вшись	mirívšisʹ	[mʲɪˈrʲifʂɨsʲ]
бу́синах	búsinax	[ˈbusʲɪnəx]
что́кал	štókal	[ˈʂtokəl]
отрубя́х	otrubjáx	[ɐtrʊˈbʲax]
произведе́ний иску́сства	proizvedénij iskússtva	[prəɪzvʲɪˈdʲenʲɪj ɪˈskustvə]
фикси́руем	fiksírujem	[fʲɪkˈsʲirʊ(j)ɪm]
пусте́ть	pustétʹ	[pʊˈsʲtʲetʲ]
обознача́ла	oboznačála	[ɐbəznɐˈt͡ɕalə]
		
апори́ям	aporíjam	[ɐpɐˈrʲijəm]
махо́рка	maxórka	[mɐˈxorkə]
распознава́ний	raspoznavánij	[rəspəznɐˈvanʲɪj]
водопа́дам	vodopádam	[vədɐˈpadəm]
соверше́нствоваться	soveršénstvovatʹsja	[səvʲɪrˈʂɛnstvəvət͡sə]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
удивлённый	udivljónnyj	[ʊdʲɪˈvlʲɵnːɨj]
надоеда́вши	nadojedávši	[nədə(j)ɪˈdafʂɨ]
ло́жном па́лтусе	lóžnom páltuse	[ˈloʐnəm ˈpaltʊsʲe]
употреблю́	upotrebljú	[ʊpətrʲɪˈblʲu]
геркуле́совой ка́ше	gerkulésovoj káše	[ɡʲɪrkʊˈlʲesəvəj ˈkaʂɨ]
сопоставля́емый	sopostavljájemyj	[səpəstɐˈvlʲæ(j)ɪmɨj]
переме́шиваешься	pereméšivaješʹsja	[pʲɪrʲɪˈmʲeʂɨvə(j)ɪʂsʲə]
бомби́вший	bombívšij	[bɐm⁽ʲ⁾ˈbʲifʂɨj]
постанови́вший	postanovívšij	[pəstənɐˈvʲifʂɨj]
прока́титесь	prokátitesʹ	[prɐˈkatʲɪtʲɪsʲ]
пропита́ете	propitájete	[prəpʲɪˈta(j)ɪtʲe]
ксанти́ном	ksantínom	[ksɐnʲˈtʲinəm]
дота́скивавши	dotáskivavši	[dɐˈtaskʲɪvəfʂɨ]
концентри́рующийся	koncentrírujuščijsja	[kənt͡sɨnˈtrʲirʊjʉɕːɪjsʲə]
воро́чал	voróčal	[vɐˈrot͡ɕɪl]
амортиза́ции	amortizácii	[ɐmərtʲɪˈzat͡sɨɪ]
бага́мский	bagámskij	[bɐˈɡamskʲɪj]
восстава́вши	vosstavávši	[vəsːtɐˈvafʂɨ]
управля́ющий	upravljájuščij	[ʊprɐˈvlʲæjʉɕːɪj]
карака́лами	karakálami	[kərɐˈkaləmʲɪ]
выта́скивающий	vytáskivajuščij	[vɨˈtaskʲɪvəjʉɕːɪj]
арчи́нскому	arčínskomu	[ɐrˈt͡ɕinskəmʊ]
ка́упера	káupera	[ˈkaʊpʲɪrə]
мундиа́лю	mundiálju	[mʊnʲdʲɪˈalʲʊ]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
шага́ющий	šagájuščij	[ʂɐˈɡajʉɕːɪj]
америка́нкам	amerikánkam	[ɐmʲɪrʲɪˈkankəm]
га́лсе	gálse	[ˈɡalsʲe]
обши́ть	obšítʹ	[ɐpˈʂɨtʲ]
смоло́вший	smolóvšij	[smɐˈlofʂɨj]
атле́та	atléta	[ɐtˈlʲetə]
по́прищам	pópriščam	[ˈpoprʲɪɕːəm]
мигни́те	migníte	[mʲɪɡˈnʲitʲe]
разъе́зде	razʺjézde	[rɐzˈjezʲdʲe]
дыха́ньям	dyxánʹjam	[dɨˈxanʲjəm]
переку́ривай	perekúrivaj	[pʲɪrʲɪˈkurʲɪvəj]
трапе́ций	trapécij	[trɐˈpʲet͡sɨj]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
зарни́ц	zarníc	[zɐrˈnʲit͡s]
кра́сивши	krásivši	[ˈkrasʲɪfʂɨ]
распростёртый	rasprostjórtyj	[rəsprɐˈsʲtʲɵrtɨj]
правле́ние	pravlénije	[prɐˈvlʲenʲɪje]
утружда́ю	utruždáju	[ʊtrʊʐˈdajʊ]
прораба́тывая	prorabátyvaja	[prərɐˈbatɨvəjə]
учаща́вшись	učaščávšisʹ	[ʊt͡ɕɪˈɕːafʂɨsʲ]
застони́	zastoní	[zəstɐˈnʲi]
бараба́нный бой	barabánnyj boj	[bərɐˈbanːɨj ˈboj]
утомя́т	utomját	[ʊtɐˈmʲat]
гей-изда́ниями	gej-izdánijami	[ˌɡʲej ɪzˈdanʲɪjəmʲɪ]
стро́йка	strójka	[ˈstrojkə]
руби́ном	rubínom	[rʊˈbʲinəm]
англи́йский язы́к	anglíjskij jazýk	[ɐnˈɡlʲijskʲɪj (j)ɪˈzɨk]
осуществля́ли	osuščestvljáli	[ɐsʊɕːɪstˈvlʲælʲɪ]
отбо́ю	otbóju	[ɐdˈbojʊ]
стря́пающий	strjápajuščij	[ˈstrʲapəjʉɕːɪj]
взбеси́ло	vzbesílo	[vzbʲɪˈsʲilə]
превозмога́я	prevozmogája	[prʲɪvəzmɐˈɡajə]
простону́	prostonú	[prəstɐˈnu]
вонза́ло	vonzálo	[vɐnˈzalə]
бу́бну	búbnu	[ˈbubnʊ]
приве́й	privéj	[prʲɪˈvʲej]
притесне́ние	pritesnénije	[prʲɪtʲɪsʲˈnʲenʲɪje]
заку́ске	zakúske	[zɐˈkuskʲe]
я́щерку	jáščerku	[ˈjæɕːɪrkʊ]
стани́цы	stanícy	[stɐˈnʲit͡sɨ]
отстре́ливаются	otstrélivajutsja	[ɐt͡sˈstrʲelʲɪvəjʊt͡sə]
подкупа́ет	podkupájet	[pətkʊˈpa(j)ɪt]
дознаётся	doznajótsja	[dəznɐˈjɵt͡sːə]
апартаме́нтам	apartaméntam	[ɐpərtɐˈmʲentəm]
шпик	špik	[ʂpʲik]
отдали́лся	otdalílsja	[ɐdːɐˈlʲils⁽ʲ⁾ə]
амуле́ту	amulétu	[ɐmʊˈlʲetʊ]
остряко́в	ostrjakóv	[ɐstrʲɪˈkof]
развёртывав	razvjórtyvav	[rɐzˈvʲɵrtɨvəf]
незнако́мцу	neznakómcu	[nʲɪznɐˈkomt͡sʊ]
пеницилли́ну	penicillínu	[pʲɪnʲɪt͡sɨˈlʲinʊ]
са́харная ва́та	sáxarnaja váta	[ˈsaxərnəjə ˈvatə]
ляга́й	ljagáj	[lʲɪˈɡaj]
уткнёте	utknjóte	[ʊtkˈnʲɵtʲe]
начита́лся	načitálsja	[nət͡ɕɪˈtals⁽ʲ⁾ə]
трави́ли	travíli	[trɐˈvʲilʲɪ]
гидра́нтами	gidrántami	[ɡʲɪˈdrantəmʲɪ]
батрачо́нку	batračónku	[bətrɐˈt͡ɕɵnkʊ]
подпры́гивать	podprýgivatʹ	[pɐtˈprɨɡʲɪvətʲ]
шве́йке	švéjke	[ˈʂvʲejkʲe]
австрали́йца	avstralíjca	[ɐfstrɐˈlʲijt͡sə]
тана́грой	tanágroj	[tɐˈnaɡrəj]
вертолётик	vertoljótik	[vʲɪrtɐˈlʲɵtʲɪk]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
мажо́ров	mažórov	[mɐˈʐorəf]
помо́жешь	pomóžešʹ	[pɐˈmoʐɨʂ]
аранжи́руют	aranžírujut	[ɐrɐnˈʐɨrʊjʊt]
мета́ть	metátʹ	[mʲɪˈtatʲ]
разлучи́ть	razlučítʹ	[rəzlʊˈt͡ɕitʲ]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
умести́лся	umestílsja	[ʊmʲɪˈsʲtʲils⁽ʲ⁾ə]
обвола́киваю	obvolákivaju	[ɐbvɐˈlakʲɪvəjʊ]
зре́лищу	zrélišču	[ˈzrʲelʲɪɕːʊ]
тайфу́нов	tajfúnov	[tɐjˈfunəf]
скры́тый	skrýtyj	[ˈskrɨtɨj]
поплёлся	popljólsja	[pɐˈplʲɵls⁽ʲ⁾ə]
потесня́т	potesnját	[pətʲɪsʲˈnʲat]
аддо́нов	addónov	[ɐˈdonəf]
опра́вдывавшийся	oprávdyvavšijsja	[ɐˈpravdɨvəfʂɨjsʲə]
цу́циком	cúcikom	[ˈt͡sut͡sɨkəm]
пересту́каешь	perestúkaješʹ	[pʲɪrʲɪˈstukə(j)ɪʂ]
та́нку	tánku	[ˈtankʊ]
казна́х	kaznáx	[kɐzˈnax]
обучи́ться	obučítʹsja	[ɐbʊˈt͡ɕit͡sːə]
тара́щатся	taráščatsja	[tɐˈraɕːət͡sə]
подёргавший	podjórgavšij	[pɐˈdʲɵrɡəfʂɨj]
соли́стам	solístam	[sɐˈlʲistəm]
отрепети́ровать	otrepetírovatʹ	[ɐtrʲɪpʲɪˈtʲirəvətʲ]
раздупля́ли	razdupljáli	[rəzdʊˈplʲælʲɪ]
ши́вороту	šívorotu	[ˈʂɨvərətʊ]
принадлежи́	prinadleží	[prʲɪnədlʲɪˈʐɨ]
обли́чье	oblíčʹje	[ɐˈblʲit͡ɕje]
това́рищей	továriščej	[tɐˈvarʲɪɕːɪj]
фона́рщику	fonárščiku	[fɐˈnarɕːɪkʊ]
гигаба́йтами	gigabájtami	[ɡʲɪɡɐˈbajtəmʲɪ]
ю́ношество	júnošestvo	[ˈjunəʂɨstvə]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
затеря́лось	zaterjálosʹ	[zətʲɪˈrʲaləsʲ]
сёгу́ны	sjogúny	[sʲɵˈɡunɨ]
оговори́шь	ogovoríšʹ	[ɐɡəvɐˈrʲiʂ]
станко́вого пулемёта	stankóvovo pulemjóta	[stɐnˈkovəvə pʊlʲɪˈmʲɵtə]
самоотрече́ниями	samootrečénijami	[səmɐɐtrʲɪˈt͡ɕenʲɪjəmʲɪ]
Но́виков	Nóvikov	[ˈnovʲɪkəf]
кни́ксенов	kníksɛnov	[ˈknʲiksɨnəf]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
всма́тривавшийся	vsmátrivavšijsja	[ˈfsmatrʲɪvəfʂɨjsʲə]
като́д	katód	[kɐˈtot]
шести́десяти	šestídesjati	[ʂɨˈsʲtʲidʲɪsʲɪtʲɪ]
изда́телей	izdátelej	[ɪzˈdatʲɪlʲɪj]
столкну́тся	stolknútsja	[stɐlkˈnut͡sːə]
приве́йте	privéjte	[prʲɪˈvʲejtʲe]
ба́мпер	bámper	[ˈbam⁽ʲ⁾pʲɪr]
ежи́хам	ježíxam	[(j)ɪˈʐɨxəm]
налётчиком	naljótčikom	[nɐˈlʲɵt͡ɕːɪkəm]
расчи́стив	rasčístiv	[rɐɕˈt͡ɕisʲtʲɪf]
иниции́руем	iniciírujem	[ɪnʲɪt͡sɨˈirʊ(j)ɪm]
сы́плем	sýplem	[ˈsɨplʲɪm]
устраня́лся	ustranjálsja	[ʊstrɐˈnʲals⁽ʲ⁾ə]
мо́дницах	módnicax	[ˈmodʲnʲɪt͡səx]
фита́м	fitám	[fʲɪˈtam]
гармонизи́ровал	garmonizíroval	[ɡərmənʲɪˈzʲirəvəl]
остано́вим	ostanóvim	[ɐstɐˈnovʲɪm]
настра́ивали	nastráivali	[nɐˈstraɪvəlʲɪ]
переби́вши	perebívši	[pʲɪrʲɪˈbʲifʂɨ]
барме́н	barmɛ́n, barmén	[bɐrˈmɛn]
баба́хаю	babáxaju	[bɐˈbaxəjʊ]
плодя́тся	plodjátsja	[plɐˈdʲat͡sːə]
вынужда́ет	vynuždájet	[vɨnʊʐˈda(j)ɪt]
завяза́л	zavjazál	[zəvʲɪˈzal]
погребе́ниях	pogrebénijax	[pəɡrʲɪˈbʲenʲɪjəx]
накати́л	nakatíl	[nəkɐˈtʲil]
горко́мам	gorkómam	[ɡɐrˈkoməm]
спаси́тель	spasítelʹ	[spɐˈsʲitʲɪlʲ]
перегружа́ет	peregružájet	[pʲɪrʲɪɡrʊˈʐa(j)ɪt]
са́харная ва́та	sáxarnaja váta	[ˈsaxərnəjə ˈvatə]
совершенноле́тиями	soveršennolétijami	[səvʲɪrʂɨnːɐˈlʲetʲɪjəmʲɪ]
достро́ите	dostróite	[dɐˈstroɪtʲe]
потаи́м	potaím	[pətɐˈim]
покрыва́вшийся	pokryvávšijsja	[pəkrɨˈvafʂɨjsʲə]
испаря́вший	isparjávšij	[ɪspɐˈrʲafʂɨj]
волоска́х	voloskáx	[vəlɐˈskax]
лучево́й	lučevój	[lʊt͡ɕɪˈvoj]
каллигра́фиею	kalligráfijeju	[kəlʲɪˈɡrafʲɪ(j)ɪjʊ]
митингу́йте	mitingújte	[mʲɪtʲɪnˈɡujtʲe]
нежела́ниях	neželánijax	[nʲɪʐɨˈlanʲɪjəx]
метафори́чески	metaforíčeski	[mʲɪtəfɐˈrʲit͡ɕɪskʲɪ]
упыря́х	upyrjáx	[ʊpɨˈrʲax]
вы́работались	výrabotalisʹ	[ˈvɨrəbətəlʲɪsʲ]
ро́сам	rósam	[ˈrosəm]
стреми́ться	stremítʹsja	[strʲɪˈmʲit͡sːə]
оцело́т	ocelót	[ɐt͡sɨˈlot]
отрепети́руй	otrepetíruj	[ɐtrʲɪpʲɪˈtʲirʊj]
улича́йте	uličájte	[ʊlʲɪˈt͡ɕæjtʲe]
верёвочках	verjóvočkax	[vʲɪˈrʲɵvət͡ɕkəx]
Баграмя́н	Bagramján	[bəɡrɐˈmʲan]
шпик	špik	[ʂpʲik]
избира́ем	izbirájem	[ɪzbʲɪˈra(j)ɪm]
аппле́тов	applétov	[ɐˈplʲetəf]
наблюда́ющийся	nabljudájuščijsja	[nəblʲʊˈdajʉɕːɪjsʲə]
разно́сом	raznósom	[rɐzˈnosəm]
переска́занным	pereskázannym	[pʲɪrʲɪˈskazən(ː)ɨm]
опроверга́ю	oprovergáju	[ɐprəvʲɪrˈɡajʊ]
усла́вший	uslávšij	[ʊsˈlafʂɨj]
эпиде́рмис	epidɛ́rmis	[ɪpʲɪˈdɛrmʲɪs]
возмути́в	vozmutív	[vəzmʊˈtʲif]
обита́йте	obitájte	[ɐbʲɪˈtajtʲe]
дифференциа́льный	differenciálʹnyj	[dʲɪfʲɪrʲɪnt͡sɨˈalʲnɨj]
позо́ре	pozóre	[pɐˈzorʲe]
Ала́рих	Alárix	[ɐˈlarʲɪx]
обва́ливаешься	obválivaješʹsja	[ɐbˈvalʲɪvə(j)ɪʂsʲə]
додредно́уту	dodrednóutu	[dədrʲɪdˈnoʊtʊ]
остыва́нием	ostyvánijem	[ɐstɨˈvanʲɪ(j)ɪm]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
обосно́вывавший	obosnóvyvavšij	[ɐbɐsˈnovɨvəfʂɨj]
предвкуша́вший	predvkušávšij	[prʲɪtfkʊˈʂafʂɨj]
чёркаешь	čórkaješʹ	[ˈt͡ɕɵrkə(j)ɪʂ]
анеро́идах	aneróidax	[ɐnʲɪˈroɪdəx]
осуществи́шь	osuščestvíšʹ	[ɐsʊɕːɪstˈvʲiʂ]
адвокату́ры	advokatúry	[ɐdvəkɐˈturɨ]
поклоне́ниям	poklonénijam	[pəklɐˈnʲenʲɪjəm]
станко́в	stankóv	[stɐnˈkof]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
ми́лует	mílujet	[ˈmʲilʊ(j)ɪt]
нанима́ет	nanimájet	[nənʲɪˈma(j)ɪt]
проката́ть	prokatátʹ	[prəkɐˈtatʲ]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
Мари́на	Marína	[mɐˈrʲinə]
